A,00:34:07,00:23:09,998,00:00:21
AA,00:03:31,00:36:51,989,00:10:29
AAE,00:10:07,00:26:38,991,00:50:42
AAHR,00:05:45,00:14:51,907,00:03:42
AAJ,00:03:58,00:33:45,836,00:48:43
AAR,00:12:47,00:11:18,985,00:34:41
AAST,00:29:18,00:07:06,923,00:37:17
AAZA,00:43:47,00:07:22,670,00:39:48
AAZX,00:58:44,00:12:06,556,00:59:13
AB,00:12:41,00:31:23,968,00:54:56
ABB,00:00:24,00:24:51,918,00:55:34
ABCS,00:35:00,00:31:48,833,00:11:31
ABH,00:10:19,00:05:05,840,00:37:40
ABHD,00:30:11,00:33:12,978,00:48:34
ABR,00:02:17,00:24:33,975,00:41:38
ABRH,00:34:54,00:52:27,998,00:41:26
ABZ,00:54:17,00:16:10,913,00:46:01
ABZL,00:43:55,00:29:54,582,00:41:08
AC,00:28:08,00:29:17,946,00:50:27
ACAP,00:12:35,00:30:08,904,00:10:38
ACBT,00:04:23,00:06:21,858,00:49:46
ACPM,00:02:13,00:38:35,780,00:48:54
ACV,00:06:39,00:38:54,818,00:17:25
ACVG,00:14:43,00:08:04,974,00:34:44
ACXN,00:15:34,00:44:10,937,00:43:57
AD,00:16:09,00:17:46,952,00:34:16
ADH,00:25:37,00:03:31,196,00:29:34
ADI,00:07:25,00:51:05,937,00:08:20
ADKU,00:04:50,00:44:31,924,00:58:38
ADL,00:20:31,00:29:59,806,00:29:23
ADPV,00:09:14,00:56:05,406,00:59:37
ADRA,00:56:40,00:14:47,867,00:55:37
ADRF,00:21:33,00:24:56,364,00:43:10
ADVR,00:04:05,00:19:37,936,00:31:36
ADYM,00:49:32,00:11:01,971,00:52:50
AE,00:33:44,00:18:25,976,00:11:37
AEC,00:35:11,00:54:39,907,00:00:39
AEI,00:41:56,00:26:25,966,00:09:23
AEL,00:11:01,00:53:13,909,00:56:16
AEZG,00:04:49,00:28:00,852,00:28:53
AF,00:24:04,00:20:18,953,00:02:23
AFE,00:41:40,00:31:55,853,00:31:59
AFJ,00:06:09,00:09:29,674,00:46:03
AFK,00:20:12,00:25:34,687,00:37:32
AFQM,00:28:40,00:09:11,899,00:28:48
AFQR,00:25:42,00:19:50,738,00:55:37
AFRW,00:13:47,00:28:58,555,00:22:27
AFTA,00:43:34,00:45:08,966,00:37:36
AFV,00:47:16,00:25:04,793,00:50:46
AG,00:07:09,00:19:53,914,00:20:26
AGB,00:01:47,00:24:34,686,00:10:51
AGE,00:11:16,00:32:35,881,00:55:41
AGF,00:56:42,00:33:37,868,00:59:58
AGG,00:13:32,00:14:53,982,00:06:38
AGIP,00:25:08,00:15:07,803,00:36:27
AGKC,00:14:52,00:53:13,964,00:21:44
AGPQ,00:41:44,00:22:45,986,00:12:13
AGRO,00:03:18,00:18:40,795,00:06:14
AGRZ,00:19:29,00:51:48,734,00:41:56
AGU,00:33:57,00:58:49,860,00:58:26
AH,00:08:10,00:25:13,976,00:00:37
AHC,00:09:31,00:41:45,827,00:05:12
AHGK,00:35:25,00:10:03,614,00:31:28
AHJ,00:29:14,00:39:50,953,00:48:31
AHMI,00:47:45,00:18:58,911,00:29:33
AHMY,00:05:22,00:56:33,587,00:54:33
AHQ,00:46:27,00:10:35,924,00:28:02
AHU,00:23:14,00:16:51,817,00:58:04
AI,00:01:49,00:10:11,959,00:52:25
AIAE,00:39:00,00:23:36,952,00:57:23
AIBO,00:06:58,00:28:42,969,00:55:10
AIG,00:08:14,00:04:24,803,00:05:38
AIHQ,00:52:21,00:41:48,912,00:19:03
AIJL,00:55:45,00:32:02,999,00:32:21
AIKM,00:26:43,00:14:07,591,00:17:33
AIQP,00:42:21,00:43:56,965,00:51:11
AIRQ,00:13:47,00:46:51,985,00:23:36
AIU,00:51:52,00:10:48,880,00:45:34
AJ,00:20:43,00:14:08,933,00:47:31
AJBR,00:03:59,00:58:28,982,00:55:34
AJCQ,00:03:46,00:09:04,855,00:42:45
AJE,00:11:04,00:32:43,807,00:51:14
AJP,00:09:27,00:31:05,768,00:28:42
AJQJ,00:38:20,00:44:24,960,00:37:49
AK,00:35:08,00:18:42,965,00:49:55
AKMB,00:56:38,00:09:27,973,00:57:51
AKN,00:51:58,00:34:36,951,00:39:48
AKTF,00:16:39,00:07:09,871,00:13:27
AKV,00:58:58,00:13:51,657,00:24:44
AKZ,00:07:48,00:24:38,952,00:08:30
AL,00:42:09,00:59:42,776,00:40:45
ALB,00:12:10,00:36:08,509,00:23:37
ALBK,00:26:59,00:38:10,897,00:35:48
ALK,00:32:45,00:31:49,993,00:43:13
ALL,00:33:19,00:26:13,999,00:17:00
ALLK,00:47:14,00:33:54,918,00:16:41
ALPU,00:31:58,00:10:26,807,00:14:12
ALQ,00:02:24,00:18:33,816,00:28:44
AM,00:12:16,00:21:03,975,00:17:53
AMAW,00:39:26,00:16:03,20,00:17:34
AMB,00:05:41,00:00:03,856,00:55:01
AMF,00:25:42,00:19:29,959,00:03:33
AMGH,00:42:04,00:33:34,922,00:12:31
AMQF,00:52:11,00:14:31,960,00:26:40
AMTM,00:58:03,00:42:19,993,00:33:43
AMYO,00:27:17,00:26:29,280,00:55:38
AMYU,00:22:39,00:16:55,991,00:19:18
AN,00:49:12,00:23:59,955,00:33:31
ANB,00:15:07,00:38:50,830,00:28:16
ANC,00:01:19,00:14:42,561,00:49:31
ANV,00:14:40,00:18:02,932,00:14:47
ANW,00:31:39,00:24:12,907,00:55:18
AODU,00:00:51,00:14:58,611,00:18:15
AOG,00:33:37,00:18:35,784,00:40:11
AOI,00:43:10,00:19:26,765,00:56:27
AOM,00:33:21,00:22:55,353,00:05:56
AOPF,00:22:55,00:26:56,790,00:50:30
AOV,00:35:30,00:23:38,989,00:36:12
AOY,00:29:48,00:23:21,106,00:30:40
AOYH,00:56:54,00:28:17,986,00:22:35
AOZ,00:06:24,00:25:55,991,00:50:52
AP,00:13:03,00:33:15,921,00:47:24
APEZ,00:49:27,00:18:34,905,00:06:45
APGE,00:19:29,00:46:50,883,00:43:11
APH,00:38:45,00:29:37,807,00:59:57
APJ,00:47:06,00:22:58,954,00:45:34
APJI,00:37:00,00:29:09,999,00:52:04
APLZ,00:31:05,00:18:20,175,00:37:10
APMC,00:30:06,00:25:43,789,00:22:14
APS,00:05:19,00:41:39,610,00:46:44
APX,00:01:57,00:30:46,882,00:07:08
APZ,00:47:38,00:43:26,952,00:19:24
AQ,00:12:35,00:29:14,975,00:15:23
AQC,00:39:37,00:34:02,968,00:48:34
AQCB,00:16:45,00:35:08,859,00:43:24
AQGD,00:58:31,00:26:03,754,00:00:33
AQIQ,00:19:13,00:18:36,906,00:48:05
AQK,00:17:33,00:35:26,608,00:03:31
AQRB,00:46:24,00:17:16,936,00:20:48
AQVR,00:25:47,00:23:46,766,00:00:22
AQW,00:09:51,00:22:00,947,00:20:04
